资源名称,P2P下载地址
Visual Studio 14 Professional CTP 3 (Version 14.0.22013.01.DP) (x86) - DVD (English),ed2k://|file|en_visual_studio_14_professional_ctp_3_version_14.0.22013.01.dp_x86_dvd_5054157.iso|4347871232|22E7890A33F5A24325B39FABC5B504B7|/
"Visual Studio ""14"" Professional CTP 2 (Version 14.0.21901.01.DP) (x86) - DVD (English)",ed2k://|file|en_visual_studio_14_professional_ctp_2_version_14.0.21901.01.dp_x86_dvd_4563823.iso|4284657664|9E4447FEE699EE8151A367DBA3B46B82|/
Visual Studio 11 Developer Preview (x86 and x64) - DVD (English),ed2k://|file|en_visual_studio_11_developer_preview_x86_x64_dvd_735784.iso|2094348288|B250CFE0049722F08C08C8E697D33D37|/
Visual Studio 11 Ultimate Beta  (x86) - DVD (English),ed2k://|file|en_visual_studio_11_ultimate_beta_x86_dvd_808056.iso|1798592512|6363A16BFB8D07174D27353F40289FAF|/
Visual Studio 鈥?4鈥?Professional CTP Version 14.0.21730.01.DP (x86) - DVD (English),ed2k://|file|en_visual_studio_14_professional_ctp_version_14.0.21730.01.dp_x86_dvd_4337786.iso|4261685248|2CB4043815793AD2F9DFFAAFCBF013CD|/
Visual Studio 11 Beta Language Pack Web Installer (x86) - (Chinese-Simplified),ed2k://|file|cn_visual_studio_11_beta_language_pack_web_installer_x86_808038.exe|1247592|671EDB8D308E91895C8AAAD7DE890266|/
Visual SourceSafe 6.0d (English),ed2k://|file|en_vss_60d.iso|16644096|2B12711DC9798AA96D494B4EABE1EDA6|/
Visual Studio 14 Professional CTP 4 (Version 14.0.22129.01.DP) (x86) - DVD (English),ed2k://|file|en_visual_studio_14_professional_ctp_4_version_14.0.22129.01.dp_x86_dvd_5735352.iso|4377708544|9718671F363DD478E1C2A7FBBA5E9E73|/
Visual Studio Enterprise 15 Preview (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_enterprise_15_preview_x86_x64_dvd_8497642.iso|2958809088|2C71E3C549A0E621F35729CCD3FBF356|/
Visual Web Developer 2005 Express Edition (Japanese),ed2k://|file|jp_vwd_2005_express.iso|600354816|0C4EDC3E41EB149FFEFCBBB04B5C9785|/
Visual Studio 2005 Team Edition for Software Developers - DVD - (English),ed2k://|file|en_vs_2005_vstd_dvd.iso|3798009856|F4EE492FE9AFDF49EA2B33171366EF10|/
Visual Studio 2005 Tools for the Microsoft Office System (Simplified Chinese),ed2k://|file|cs_vsto_2005.iso|469385216|DEF5A30E828E2762179E62A3D507E427|/
Visual Studio Team System 2008 Test Load Agent Trial (x86) - DVD (Chinese-Simplified),ed2k://|file|zh-Hans_visual_studio_team_system_2008_test_load_agent_trial_x86_dvd_X14-35625.iso|653629440|E594FE56910F3BFB9FC675125396E5BC|/
Visual Studio 2010 Professional (x86) - DVD (Korean),ed2k://|file|ko_visual_studio_2010_professional_x86_dvd_532339.iso|2569596928|AFB02627EF85401E871FBC17276DDFC6|/
Visual Studio 2010 Ultimate (x86) - DVD (German),ed2k://|file|de_visual_studio_2010_ultimate_x86_dvd_518711.iso|2665752576|68B2BC0FCFE85343613B2CFA9CBCB200|/
Visual Studio 2010 Professional (x86) - DVD (French),ed2k://|file|fr_visual_studio_2010_professional_x86_dvd_519327.iso|2540828672|66A6C277A6214CA847C3B75E3B10676A|/
Visual Studio 2010 Ultimate (x86) - DVD (Chinese-Traditional),ed2k://|file|ct_visual_studio_2010_ultimate_x86_dvd_532348.iso|2691330048|BF50926EAB061C7D0D92580F4132F9EA|/
Windows Phone SDK 7.1.1 Update (x64) - (English),ed2k://|file|en_windows_phone_sdk_7.1_1_update_x64.exe|304737408|8FB32EC8CDA53380FEE744655C897135|/
Windows Phone SDK 7.1.1 Update (x64) - (Chinese-Simplified),ed2k://|file|cn_windows_phone_sdk_7.1_1_update_x64.exe|304798336|BFA584B2CE5DA05BD046E6858E640458|/
Visual Studio Ultimate 2012 (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_visual_studio_ultimate_2012_x86_dvd_920954.iso|1643802624|A3058CE4F2AD7035DB6E67586D07AAA5|/
Visual SourceSafe 2005 (English),ed2k://|file|en_vss_2005.iso|108048384|C4BEC1EC3B2119BD7CCD51E930AAD4C3|/
Visual J# .NET Redistributable (English),ed2k://|file|en_visualj#_redist.exe|6587456|90786D2D806BA276F48BED63E520FD56|/
Visual FoxPro Professional 9.0 (English),ed2k://|file|en_visual_foxpro_9.0.iso|310644736|4C521F4B9DB5F2721038E2E25A8C8B14|/
Visual C++ 4.2 Enterprise Edition (English) Disc 2,ed2k://|file|en_vc42ent_disc2.exe|28805808|E51366BA6BEEFB294E68865F7BBCFF1E|/
Visual C++ 1.52 (English),ed2k://|file|en_vc152.exe|70985920|B21C2D01C734078E524FF963F0155127|/
Visual C++ 2.0 (English),ed2k://|file|en_vc++_2.0.exe|170173440|AA5123F83E4AB42FC77EB4AA915D5FEF|/
Visual Basic 6.0 Code Advisor (English),ed2k://|file|en_vb6_codeadvisor.exe|5028080|F1E10931D559226A37D7BF1B894C15ED|/
"Visual Basic 6.0, Enterprise Edition (Simplified Chinese), Disc 2",ed2k://|file|sc_vb6_ent_cd2.iso|522444800|FB78AFC8CC543A33E18CD08C31C8DADD|/
Visual Basic 6.0 Code Advisor (Simplified Chinese),ed2k://|file|cs_vb6_codeadvisor.msi|1462784|7E1A030A50EEE3265D40A6CE0B2B943F|/
"Windows SharePoint Services 3.0 Tools: Visual Studio 2008 Extensions, Version 1.2 (x86) - EXE (English)",ed2k://|file|en_sharepoint_services_3.0_tools_visual_studio_extensions_1.2_x86.exe|2890472|BC0600DC58B1D9EFE0169ED408CA5DD6|/
Robotics Developer Studio 4 (x86 and x64) - (English),ed2k://|file|en_robotics_developer_studio 4_x86_x64.exe|303699376|3E58E6CA1693FC27D29BDD1608B39348|/
"Windows SharePoint Services 3.0 Tools: Visual Studio 2008 Extensions, Version 1.2 (x86) - EXE (Chinese - Simplified)",ed2k://|file|cn_windows_sharepoint_services_3.0_tools_visual_studio_2008_extensions_1.2_x86.exe|2887464|62BA978F601AB8730D5EE8F0A00B3F73|/
QuickBasic 4.5 (English),ed2k://|file|en_quickbasic_4.5.exe|3557888|AFCE1A3970DCD345668338F52C542FA3|/
MDAC 2.8 SP1 (English),ed2k://|file|en_mdac_typ_2_8_sp1.exe|6100504|1B5E251F004BD3CA83C04EBEE9102FE2|/
Microsoft Macro Assembler 6.11 (English),ed2k://|file|EN_MASM611.exe|10232248|99872D697F5173A7171E3CE63A9E89A7|/
MDAC 2.8 SP1 (Simplified Chinese),ed2k://|file|sc_mdac_typ_2_8_sp1.exe|6086216|536F29938013C700C344923DBAC0F45A|/
Chinese (Simplified) Data Access Pack,ed2k://|file|xt_dataacc.exe|4929488|077FD2B0A21AAFEC46870B12F6DC6290|/
eMbedded Visual C++ 4.0 SP4 (English),ed2k://|file|en_embedded_visual_c++_4_sp4.exe|69927136|D133A50EA57E3978B49A5FE985A156AF|/
Kinect for Windows SDK v1.5  (x86 and x64) - (English),ed2k://|file|en_kinect_for_windows_sdk_v1.5_x86_x64.exe|232754696|12E7F43264D4817F639B0D8CDFBFA84E|/
ASP.NET MVC 4 for Visual Studio 2010 SP1 and Visual Web Developer 2010 SP1 (x86 and x64) - (English),ed2k://|file|en_aspdotnet_mvc_4_for_visual_studio_2010_sp1_and_visual_web_developer_2010_sp1_x86_x64.exe|37738088|7BBDB7001B2F83AF7BCDABB76FF2659E|/
ASP.NET MVC 4 for Visual Studio 2010 SP1 and Visual Web Developer 2010 SP1 Language Pack (x86 and x64) - (Chinese-Simplified),ed2k://|file|cn_aspdotnet_mvc_4_for_visual_studio_2010_sp1_and_visual_web_developer_2010_sp1_language_pack_x86_x64.exe|4198312|9A4ACD792B1745193286D438717634F4|/
Windows Virtual PC (x86) - (Multiple Languages),ed2k://|file|mu_windows_virtual_pc_x86_435190.msu|9591606|B9503245A5A71FA7A0791F4AF21EEF58|/
"Windows XP Mode (x86, x64) - (Korean)",ed2k://|file|ko_windows_xp_mode_x86_x64_439180.exe|585572112|A127187EC882DCF65DEA80B602CBE0BF|/
"Windows XP Mode (x86, x64) - (Italian)",ed2k://|file|it_windows_xp_mode_x86_x64_439180.exe|468197136|268584A8C26C311E24E33FE3781AC9DB|/
"Windows XP Mode (x86, x64) - (French)",ed2k://|file|fr_windows_xp_mode_x86_x64_439180.exe|489390864|61761EF4C781B7CAA10F25E33F80B0EA|/
Visio Professional 2016 (x86 and x64) - DVD (English),ed2k://|file|en_visio_professional_2016_x86_x64_dvd_6962139.iso|2421987328|56459B178C346A9D48E3205673B667EB|/
Visio Professional 2016 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_visio_professional_2016_x86_x64_dvd_6970929.iso|2588262400|52A997F3AF4E40B896C8E4677CF10E90|/
Visio 2010 (x86) - (English),ed2k://|file|en_visio_2010_x86_516534.exe|307169448|947DD30962443E5B0AA85602F80416B0|/
Visio Premium 2010 With SP1 VOL (x86) - (Chinese-Simplified),ed2k://|file|SW_DVD5_Visio_Premium_2010w_SP1_W32_ChnSimp_Std_Pro_Prem_MLF_X17-75847.iso|674627584|9945A8591D1B2D185656B5B3DC2CA24B|/
Office Visio Standard 2003 (Simplified Chinese),ed2k://|file|sc_office_2003_visio_std.iso|346390528|0DA3D16461BD59665EB88D6009596729|/
Visio 2002 Professional (Simplified Chinese),ed2k://|file|sc_visio2002_pro_sr1.iso|296609792|DF41B421136CCA4B01F3C02DA5882C75|/
Visio 2007 Service Pack 1 (x86) - EXE (Chinese-Simplified),ed2k://|file|zh-Hans_office_visio_2007_service_pack_1_x86.exe|119896968|F87752C57A163E96D4C9821096A59BBE|/
Visio Professional 2013 (x86) - (English),ed2k://|file|en_visio_professional_2013_x86_1123796.exe|357615384|194061357BEFC924A4E0D278F9BD22B7|/
Visio Professional 2013 with SP1 (x86) - (Chinese-Simplified),ed2k://|file|cn_visio_professional_2013_with_sp1_x86_3910886.exe|475819680|4B6A240FCB9C31D4C86EF408D235779E|/
Virtual Server 2005 Standard Edition R2 - x86 (Simplified Chinese),ed2k://|file|cs_virtual_server_2005_r2_standard_x86.iso|30095360|53EA45FFB7188179DF8D7D16098EF019|/
"Windows XP Mode (x86, x64) - (English)",ed2k://|file|en_windows_xp_mode_x86_x64_439180.exe|492597008|0CBB256DF3F877374D425A1D820DF3B4|/
"Windows XP Mode (x86, x64) - (Chinese-Simplified)",ed2k://|file|cn_windows_xp_mode_x86_x64_439180.exe|587586848|FF868C03143BCC6DA8D953B195642D28|/
"Virtual PC 2007 Service Pack 1 (x86) - (English, French, German, Italian, Japanese, Spanish)",ed2k://|file|en_fr_de_it_ja_es_virtual_pc_2007_sp1_x86.exe|33260072|B58B9D5666C6F4810B146B2F41836386|/
Microsoft Virtual PC 2007 (x64) (English),ed2k://|file|en_virtual_pc_2007_x64.exe|32005504|C407A5E4C2824D012D6ADA1F01401DD3|/
User Experience Virtualization 2.1 (x86 and x64) - DVD (Multiple Languages),ed2k://|file|mu_user_experience_virtualization_2.1_x86_x64_dvd_6110939.iso|75175936|AE8BD2599FEA8899229F18A83C01BD88|/
Microsoft Streets and Trips 2011 (x86 and x64) - DVD (English),ed2k://|file|en_microsoft_streets_and_trips_2011_x86_x64_dvd_644763.iso|1741453312|C503B0E455BC7032F7F72D3604C61803|/
Office Small Business Accounting 2006 (English),ed2k://|file|en_sba_2006.iso|297621504|7A871DF08F770EB0BBBF801962D16154|/
SharePoint Foundation 2010 Beta (x64) - (Chinese-Simplified),ed2k://|file|cn_sharepoint_foundation_2010_beta_x64_456154.exe|185375704|BE886D8724D2D339F0D314FDAD71AF53|/
SharePoint Designer 2013 with SP1 (x86) - (English),ed2k://|file|en_sharepoint_designer_2013_with_sp1_x86_3948134.exe|334692912|062E32C64255F7448570D8B167D8EF7D|/
SharePoint Designer 2007 Service Pack 1 (x86) - EXE (Chinese-Simplified),ed2k://|file|zh-Hans_office_sharepoint_designer_2007_service_pack_1_x86.exe|107361272|ACBF57A204F149FC4FD49791CF22EC2A|/
Publisher 2010 (x86) - (Chinese-Simplified),ed2k://|file|cn_publisher_2010_x86_516280.exe|455329296|F5C90542F5D18367CEC3C77E2E77F57B|/
Office Publisher 2007 (English),ed2k://|file|en_office_publisher_2007_cd_x12-19211.iso|276463616|F6151AEF0B1E43FA8CAC424EA38CE3B6|/
Office Publisher 2003 (Simplified Chinese),ed2k://|file|sc_office_2003_publisher.iso|367640576|A4E4D5EE4D64D7CC73EDD7556BE2AC20|/
Microsoft Publisher 2002a (Simplified Chinese),ed2k://|file|sc_Publisher_2002A.iso|410783744|4F24C1C9490144E172789660E629436A|/
Project Portfolio Server 2007 Service Pack 2 (x86) - (English),ed2k://|file|en_project_portfolio_server_2007_sp2_x86.exe|12514168|0DF9CC776018660779BDDAD158A785B9|/
Office Publisher 2007 (Simplified Chinese),ed2k://|file|cn_office_publisher_2007_cd_x12-18937.iso|436258816|F07660ECE2CF451F6F873B4F8E671E57|/
SharePoint Designer 2010 Beta (x86 and x64) - (Chinese-Simplified),ed2k://|file|cn_sharepoint_designer_2010_beta_x86_x64_x16-19248.exe|457815672|2B2DB150C2991262D1124ED96C7EF13A|/
SharePoint Designer 2013 with SP1 (x86) - (Chinese-Simplified),ed2k://|file|cn_sharepoint_designer_2013_with_sp1_x86_3948124.exe|442935264|601E3A526B396BB9FD3C277EADA4ED6F|/
Project Professional 2016 (x86 and x64) - DVD (English),ed2k://|file|en_project_professional_2016_x86_x64_dvd_6962236.iso|2421987328|44E574BDBD104294FC6CBFED9FD0F583|/
Project Professional 2013 (x86) - (English),ed2k://|file|en_project_professional_2013_x86_1123807.exe|287419968|23D6E32F81C8080479DE9C8C02D222AD|/
Project Professional 2013 with SP1 (x86) - (Chinese-Simplified),ed2k://|file|cn_project_professional_2013_with_sp1_x86_3911365.exe|434565240|70767974258CE8F3E5D30C1E43A3710C|/
Project Professional 2016 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_project_professional_2016_x86_x64_dvd_6966612.iso|2588266496|DEF65A0A9B12D8A8B734528800F625D5|/
Project Standard 2010 (x86 and x64) - DVD (Chinese-Traditional),ed2k://|file|ct_project_standard_2010_x86_x64_dvd_516835.iso|876806144|459D9ACA66BB4E71B7EBCACFA79F1DF2|/
Project Standard 2010 (x86) - (English),ed2k://|file|en_project_standard_2010_x86_516834.exe|233764856|360836EBFA3812C27210E2171E9C9957|/
Office Project Server 2003 (Simplified Chinese),ed2k://|file|sc_office_2003_project_server.iso|318930944|B8E0E1F1AECA915F4BC8C2B10999E5A0|/
Office Project Standard 2003 (Simplified Chinese),ed2k://|file|cs_office_2003_project_sta.iso|423024640|B608748C49DF92D5533C0B79A969DD0F|/
Project Standard 2002 (Simplified Chinese),ed2k://|file|sc_project_pro_2002a.iso|415926272|66DB3C5BB0F622601291FBF124CA2237|/
Project 2007 Service Pack 1 (x86) - EXE (Chinese-Simplified),ed2k://|file|zh-Hans_office_project_2007_service_pack_1_x86.exe|105169632|D4112D91A36BCC0F0A9F300B8F0DF0D9|/
Project Standard 2010 (x86) - (Chinese-Simplified),ed2k://|file|cn_project_standard_2010_x86_516812.exe|402151768|AE4445C53060C69941D33C0CE9798364|/
Office PerformancePoint Server 2007 SP2 (x86) - CD (Chinese-Simplified),ed2k://|file|cn_office_performancepoint_server_2007_sp2_x86_cd_x15-26756.iso|6916096|DE33F33FE282CB91294753381EFED5DC|/
Outlook 2010 (x86) - (English),ed2k://|file|en_outlook_2010_x86_516729.exe|270449488|94E97F2A127A0150474C8B76B17AF5EA|/
Outlook 2010 (x86) - (Chinese-Simplified),ed2k://|file|cn_outlook_2010_x86_516844.exe|442246080|06C4B045A093B0DC45BAEDA974FB9D87|/
Office Outlook 2003 (Simplified Chinese),ed2k://|file|sc_sbs_2003_Outlook.iso|361619456|0DBD64F799E1CB9ECF052D249E1D9A94|/
OneNote 2013 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_onenote_2013_x86_x64_dvd_1146798.iso|955510784|5633FBE6A53C19D0CA7687908D9938A9|/
OneNote 2010 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_onenote_2010_x86_x64_dvd_515834.iso|984356864|7A46F00707913D9D34BC91AFB532921F|/
Office OneNote 2007 (Simplified Chinese),ed2k://|file|cn_office_onenote_2007_cd_x12-18936.iso|409966592|A1F8317C5F35CBBD6F967379E303259D|/
Office OneNote 2003 (Simplified Chinese),ed2k://|file|sc_office_2003_onenote.iso|250384384|61EF6EFA62F55C939BE0CFE5D1877B2B|/
Office XP Professional - CD (English),ed2k://|file|en_office_xp_professional_cd_X10-29102.iso|331366400|1065A9737E2042E11B87DD8EBCA5EED8|/
Office for Mac 2011 with Service Pack 1 (Mac) - (Chinese-Traditional),ed2k://|file|ct_office_for_mac_2011_with_sp1_mac_dvd_671924.iso|1084252160|C40A58767C9231CC595564684B8A0A00|/
Office for Mac Home and Business 2011 (Mac) - DVD (English),ed2k://|file|en_office_for_mac_home_and_business_2011_mac_dvd_581902.iso|932945920|C92FABA361AD17DC80A6874BDB73B29C|/
Office for Mac Home and Business 2011 (Mac) - (Chinese-Simplified),ed2k://|file|cn_office_for_mac_home_and_business_2011_mac_4110737.dmg|1201430285|0DCD8347BF09A8E828F73161793CF1A1|/
Office Communicator 2007 R2 (x86) - CD (Chinese-Simplified),ed2k://|file|cn_office_communicator_2007_r2_x86_cd_328444.iso|15046656|2172ECE81BE2FF902201FE4F87FC4791|/
Office Communicator 2005 Multilingual User Interface (MUI) Package,ed2k://|file|MUI_Office_Communicator.msi|3373056|B9FD76D72E85A98139E4C980F9265328|/
Office Communicator 2007 (x86) - CD (Chinese-Simplified),ed2k://|file|zh-Hans_office_communicator_2007_x86_cd_X13-78471.iso|10340352|1C67E244FCAD627CB119D2B4FB4309EC|/
Office Accounting Professional 2009 (x86) - (English-United States),ed2k://|file|en-us_office_accounting_professional_2009_x86_110458.exe|169265744|575E22BD6E71A0C5329B9853D87F74E8|/
Office 95 Professional - CD2 (English),ed2k://|file|en_office_95_pro_cd2.exe|452148606|C7DDB23E54C4055C418EB32BE2D3575C|/
Office Professional Plus 2019 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_office_professional_plus_2019_x86_x64_dvd_5e5be643.iso|3775004672|1E4FFA5240F21F60DC027F73F1C62FF4|/
Office Home and Business 2016 for Mac (Go to Office.com/setup to activate) (Mac) - DVD (Multiple Languages),ed2k://|file|mu_office_home_and_business_2016_for_mac_mac_dvd_7027756.iso|1214924800|D6FA02597D30709949C4FEA6AA0F9D6B|/
Office Professional Plus 2016 (x86 and x64) - DVD (Chinese-Traditional),ed2k://|file|ct_office_professional_plus_2016_x86_x64_dvd_6966429.iso|2321922048|AB7DB94ADF238CAB2CFD2A20A3E463ED|/
Office Professional Plus 2013 (x86) - DVD (Chinese-Traditional),ed2k://|file|ct_office_professional_plus_2013_x86_dvd_1134003.iso|722210816|91F6BCFAE7152BF2ACF5A572191D4C14|/
Office Professional Plus 2013 with SP1 (x86) - DVD (English),ed2k://|file|en_office_professional_plus_2013_with_sp1_x86_dvd_3928181.iso|752084992|C6BBEE196211E9031AF539DA626222A7|/
Office 2010 SP2 (x64) - DVD (Multiple Languages),ed2k://|file|mu_office_2010_sp2_x64_dvd_2803299.iso|1699620864|6EDDF097C72C445787D6DA7D289D29C0|/
Office Professional Plus 2010 (x86) - (Hebrew),ed2k://|file|he_office_professional_plus_2010_x86_515503.exe|679472888|F7A51FD537695106DB12FCA5D55D4451|/
Office Professional Plus 2010 (x86) - (Dutch),ed2k://|file|nl_office_professional_plus_2010_x86_516179.exe|659057496|903CF05FBB2141134387718F03F1AABB|/
Office Professional Plus 2007 Service Pack 3 (x86) - DVD (Multiple Languages),ed2k://|file|mu_office_professional_plus_2007_sp3_x86_dvd_803781.iso|2553942016|BEAF219A0E98C96D7756CC0E208EE41F|/
"Disc 6: Office Professional 2003 Multilingual User Interface (x86) - CD (Bulgarian, Croatian, Romanian, Serbian, Slovak, Slovenian, Thai)",ed2k://|file|bg_hr_ro_sr_sk_sl_th_disc_6_office_professional_2003_MUI_x86_cd.iso|414285824|2E5227C93AF8C37F50F236D14D263456|/
Office Professional Enterprise Edition 2003 (Japanese),ed2k://|file|ja_office_2003_Professional.iso|540835840|a10f1735d5a264fb2e268d3157a9061d|/
Office Professional Enterprise Edition 2003 (English),ed2k://|file|en_office_2003_pro.iso|420005888|2828bdb2400cf75af224c3e4a919bd9b|/
Office Standard Edition 2003 (Simplified Chinese),ed2k://|file|sc_office_2003_std.iso|429031424|DB59D0F8CC31EF72CC15D675FC9B7C34|/
Office Language Pack 2007 (Japanese),ed2k://|file|jp_office_language_pack_2007_X12-42342.iso|486891520|FA86AD5DD93025010FF34FAAEFE6B4A4|/
Office Enterprise 2007 - DVD (Traditional Chinese-Taiwan),ed2k://|file|tw_office_enterprise_2007_DVD_VL_X12-19568.iso|816275456|4F5930254D09F35191AD37BD3E9BEA42|/
Office Language Pack 2007 (Traditional Chinese-Hong Kong SAR),ed2k://|file|hk_office_language_pack_2007_X12-42340.iso|508004352|FD11AEBCF023B7C0CC05D0CA6DB30E01|/
Office Ultimate 2007 - DVD (English),ed2k://|file|en_office_ultimate_2007_DVD_X12-22244.iso|558557184|8F062F0B1245AB77133280BC5C552946|/
MapPoint 2010 North American Maps (x86 and x64) - DVD (English),ed2k://|file|en_mappoint_2010_north_american_maps_x86_x64_dvd_x15-76070.iso|1912006656|F0657A48920686E26AFB1DB4E47F400D|/
MapPoint? 2009 North American Maps (x86) - DVD (English),ed2k://|file|en_mappoint_2009_north_american_maps_x86_dvd_x14-90057.iso|1689806848|203B75663F8E5A4A33919FAD6DFC566D|/
Office Ultimate 2007 - DVD (Simplified Chinese),ed2k://|file|cn_office_ultimate_2007_DVD_X12-22271.iso|763938816|5507C6CCF4C1503A8A682D78AC05B87B|/
Office Professional Plus 2010 (x86) - (Spanish),ed2k://|file|es_office_professional_plus_2010_x86_515094.exe|667832488|1958665DC3D9D9FFC89C3C65C6A8A294|/
Office Professional Plus 2010 (x86) - (Russian),ed2k://|file|ru_office_professional_plus_2010_x86_516161.exe|640670888|0DF22984814D94E0E3407155EC15FFB2|/
Office Professional Plus 2010 (x86) - (Korean),ed2k://|file|ko_office_professional_plus_2010_x86_515512.exe|730388624|7AAE4F1A14B045FD581D072D5B05211F|/
Office Professional Plus 2010 (x86) - (Japanese),ed2k://|file|ja_office_professional_plus_2010_x86_515504.exe|794891976|F004260A267CA682AA25CD67430121FB|/
Office Professional Plus 2010 (x86) - (Italian),ed2k://|file|it_office_professional_plus_2010_x86_516138.exe|676413576|240ED9F685A23E79E83CA3F9187C128E|/
Office Professional Plus 2010 (x86) - (German),ed2k://|file|de_office_professional_plus_2010_x86_515088.exe|712660056|3EA7DAB503909211C000BE589EBA647A|/
Office Professional Plus 2010 (x86) - (French),ed2k://|file|fr_office_professional_plus_2010_x86_515095.exe|705375912|39F62A2FB0089685E3D8131D1D6A6D6F|/
Office Professional Plus 2010 VOL (x86) - DVD (Chinese-Traditional),ed2k://|file|SW_DVD5_Office_Professional_Plus_2010_W32_ChnTrad_MLF_X16-52767.iso|913917952|05C7B0C53F7A116573078176F7F09BBF|/
Office Standard 2010 with Service Pack 1 (x86) - DVD (English),ed2k://|file|en_office_standard_2010_with_sp1_x86_dvd_730335.iso|2349852672|AA8AD8414E29B9DAA32A324194AC8CBC|/
Office Standard 2010 with Service Pack 1 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_office_standard_2010_with_sp1_x86_dvd_731077.iso|2628749312|38672C85E63F1DE8D00B5867CBE97CB9|/
Office Professional Plus 2013 with SP1 (x86) - DVD (Chinese-Simplified),ed2k://|file|cn_office_professional_plus_2013_with_sp1_x86_dvd_3921919.iso|858245120|EA50FF2DE78488DF2646D66FA791164A|/
Office Professional Plus 2016 (x86 and x64) - DVD (English),ed2k://|file|en_office_professional_plus_2016_x86_x64_dvd_6962141.iso|2421989376|1B32860B8D8BF3EF2B1C30F79A766879|/
Office Professional Plus 2016 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_office_professional_plus_2016_x86_x64_dvd_6969182.iso|2588266496|27EEA4FE4BB13CD0ECCDFC24167F9E01|/
MapPoint 2006 Standard Edition (European Maps) - DVD (English),ed2k://|file|en_mappoint_2006_standard_europe_cd1_X11-44216.iso|1476722688|09A62BE3AA06573CB03C1BD25F2C7583|/
Lync for Mac 2011 - (Multilanguage),ed2k://|file|mu_lync_for_mac_2011_mac_dvd_737519.dmg|59264680|A93BE9F0BAB5FFE0AD6AAA158B0D016E|/
Lync 2013 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_lync_2013_x86_x64_dvd_1145845.iso|999450624|7858E7FEDF27029D18FD6ECD257164CC|/
Lync 2010 (x86) - (English),ed2k://|file|en_lync_2010_x86_598490.exe|56021784|DCA795BAE6149D2EF5EA0690B6FFCA46|/
Internet Explorer 6.0 with Service Pack 1 (English),ed2k://|file|EN_IE60_SP1.exe|81276928|5E1E35A319F6E8B82D7A5A2CC4E82197|/
Internet Explorer 6.0 with Service Pack 1 (Simplified Chinese),ed2k://|file|SC_IE60_SP1.exe|81326080|3F879FAB8E04785B5D3EC27DEFA1C6A6|/
Lync 2010 (x86) - (Chinese-Simplified),ed2k://|file|cn_lync_2010_x86_615692.exe|56006424|4BD00356E3F0C2065FCAE0F4CA5FA74B|/
InfoPath 2010 (x86) - (English),ed2k://|file|en_infopath_2010_x86_515570.exe|267940968|EAFF91843DCF88B369CAB491DD3E4550|/
Office InfoPath 2003 (Simplified Chinese),ed2k://|file|sc_office_2003_infopath.iso|313851904|BEE8BB89C29E10C8D8F805F3A1175292|/
Microsoft Hyper-V Server 2008 R2 (x64) - DVD (Multiple Languages),ed2k://|file|hk_cn_en_fr_de_it_ja_ko_pt_ru_es_hyper_v_server_2008_r2_x64_dvd_x16-07166.iso|1615949824|2DC62FF7253A91B813239D6C6BFBA4E1|/
"Hyper-V Server 2008 (x64) - DVD (Chinese-Hong Kong SAR, Chinese-Simplified, English, French, German, Italian, Japanese, Korean, Portuguese-Brazil, Russian, Spanish)",ed2k://|file|mu_hyper-v_server_2008_x64_dvd_x14-87935.iso|1176301568|20BDCC119B12E30D5A6C9D2350D6A339|/
Office Groove 2007 (English),ed2k://|file|en_office_groove_2007_cd_X12-19198.iso|237684736|DD752B757EB2E36DFEBD7DB5E8FCCFC1|/
Office FrontPage 2003 (Simplified Chinese),ed2k://|file|sc_office_2003_frontpage.iso|389703680|099032DC36F9E4D4619888DB6FE7136F|/
Business Contact Manager for Outlook 2010 (x86) - (Chinese-Traditional),ed2k://|file|ct_business_contact_manager_for_outlook_2010_x86_511050.exe|455915296|A2B7F5E64264CDF5128D9B53109FB5E9|/
Business Contact Manager for Outlook 2010 (x86) - (English),ed2k://|file|en_business_contact_manager_for_outlook_2010_x86_508766.exe|386308920|D6CA4BFF29AD1FFCC4E23C6EB9DBDF6A|/
Business Contact Manager for Outlook 2010 (x86) - (Chinese-Simplified),ed2k://|file|cn_business_contact_manager_for_outlook_2010_x86_510917.exe|455888824|61CFA9F54A0EE41F59A04396E7CFF1CE|/
Access 2010 (x86) - (English),ed2k://|file|en_access_2010_x86_514967.exe|284655576|5E939399C33C725E1936EA10E6B51158|/
Access 2010 (x86 and x64) - DVD (Chinese-Simplified),ed2k://|file|cn_access_2010_x86_x64_dvd_515000.iso|1001994240|85015D4CA7AE0AD978BD155EF906A4F0|/
Office Access 2003 (Simplifed Chinese),ed2k://|file|sc_access_2003.iso|645523456|63AA6C30D609FDC22D056C4B424283F9|/
